sales_rank	product_name	price	cost	sales_composition_ratio	abc_rank
1	石窯生食パン	406	85	14.80%	A
2	生ドーナツ各種	194	30	6.30%	A
3	塩パン	166	24	6.30%	A
4	カレーパン	272	70	6.00%	A
5	石窯メロンパン	204	35	2.90%	A
6	とりから棒	338	77	2.90%	A
7	塩あんバター	211	59	2.20%	A
8	チョコチップメロンパン	218	56	2.00%	A
9	石窯クリームパン	220	59	1.90%	A
10	ポテチーズ	304	66	1.90%	A
11	コロネ	215	39	1.90%	A
12	クロワッサン	205	64	1.70%	A
13	チキンカツサンド	326		1.60%	A
14	とりからバーガー	368	117	1.50%	A
15	粒あんぱん	233	66	1.40%	A
16	バターパープル	268	61	1.40%	A
17	自家製タマゴサラダコッペ	238		1.30%	A
18	カスタードクリームブリュレ	209	57	1.30%	A
19	あらびきソーセージ	364	92	1.30%	A
20	コロッケコッペ	193		1.30%	A
21	塩バニラ	216	73	1.30%	A
22	やきそば	310	78	1.20%	A
23	厚焼卵サンドイッチ	231	52	1.20%	A
24	ハッシュドポテト	120		1.10%	A
25	タマゴサラダサンドイッチ	231		1.00%	A
26	あげぱん（シナモン）	110	19	1.00%	A
27	ちびっこフランク	140	37	1.00%	A
28	ミルクフランス	194	38	1.00%	A
29	オールドファッションドーナツ	144	68	1.00%	A
30	バジルとベーコンのパニーニ	277	75	0.90%	A
31	エビカツサンド	294		0.90%	A
32	バケット＆バタール	200	40	0.90%	A
33	ラムレーズンフランス	197		0.90%	A
34	チキン南蛮コッペ	210	108	0.90%	A
35	自家製タマゴサラダコッペ	238		0.90%	A
36	くるみとチョコフランス（ハーフ）	195	62	0.90%	A
37	焼きそばコッペ	200		0.90%	B
38	ツナサラダコッペ	165	48	0.90%	B
39	スイートコーンピザ	272	62	0.80%	B
40	てりやきチキンピザ	270	61	0.80%	B
41	ショルダーハム＆チーズのピザ	263		0.80%	B
42	チーズ明太クロックムッシュ	264	71	0.80%	B
43	ヤンニョムチキン風コッペ	217		0.80%	B
44	ちくわぱん	240	65	0.80%	B
45	明太フランス	196	55	0.80%	B
46	チキンステーキバーガー	319	62	0.70%	B
47	チーズタッカルビタルティーヌ	264	69	0.70%	B
48	フレンチトースト（プレーン）	125	46	0.70%	B
49	ミックスピザ	271	73	0.70%	B
50	サラダチキンコッペ	172	46	0.70%	B
51	クロックムッシュ	264	75	0.70%	B
52	スパイシーチーズ(ハーフ)	390		0.50%	B
53	ハムキノコマカロニグラタンタルティーヌ	205	49	0.50%	B
54	塩パンショルダーハムサンド	281	84	0.50%	B
55	塩パンオニオンハムサンド	194	51	0.50%	B
56	ベーコンエピ	255		0.50%	C
57	ポテトサラダサンドイッチ	245		0.50%	C
58	塩パンロングソーセージ	273	69	0.50%	C
59	HLTサンドイッチ	245		0.50%	C
60	ぱくぱくサンド	111		0.40%	C
