date	day_of_week	sales_amount	customer_count	average_spend	weather	min_temp	max_temp	is_closed
2025/3/1	土	553987	377	1368	晴れ時々曇り	4	19	0
2025/3/2	日	496782	349	1423	晴れ	9	17	0
2025/3/3	月	224803	190	1183	晴れ→曇り	5	12	0
2025/3/4	火				晴れ時々曇り	5	6	1
2025/3/5	水				晴れ時々曇り	6	10	1
2025/3/6	木	298672	253	1181	晴れ時々曇り	5	12	0
2025/3/7	金	280427	238	1178	晴れ時々曇り	3	9	0
2025/3/8	土	456797	352	1298	晴れ時々曇り	2	10	0
2025/3/9	日	420574	312	1348	晴れ	3	14	0
2025/3/10	月	263449	219	1203	晴れ時々曇り	2	15	0
2025/3/11	火				晴れ時々曇り	9	11	1
2025/3/12	水				晴れ時々曇り	9	15	1
2025/3/13	木	289412	245	1181	晴れ→曇り	8	16	0
2025/3/14	金	237587	192	1237	晴れ時々曇り	5	18	0
2025/3/15	土	403794	272	1485	晴れ時々曇り	6	9	0
2025/3/16	日	409945	288	1423	晴れ→曇り	6	10	0
2025/3/17	月	244739	200	1224	晴れ時々曇り	4	11	0
2025/3/18	火				晴れ時々曇り	1	13	1
2025/3/19	水				晴れ時々曇り	4	10	1
2025/3/20	木	413030	298	1386	晴れ時々曇り	2	11	0
2025/3/21	金	245331	213	1152	晴れ	2	16	0
2025/3/22	土	445738	316	1411	晴れ	6	22	0
2025/3/23	日	386794	282	1372	晴れ	8	22	0
2025/3/24	月	224572	194	1158	晴れ時々曇り	9	20	0
2025/3/25	火				晴れ	9	23	1
2025/3/26	水				晴れ時々曇り	12	21	1
2025/3/27	木	275545	224	1230	晴れ→曇り	9	20	0
2025/3/28	金	367860	267	1378	晴れ時々曇り	10	19	0
2025/3/29	土	497153	308	1614	晴れ→曇り	8	15	0
2025/3/30	日	528064	329	1605	晴れ時々曇り	5	11	0
2025/3/31	月	284880	212	1344	晴れ→曇り	4	12	0
2025/4/1	火				晴れ	7	13	1
2025/4/2	水				晴れ時々曇り	9	18	1
2025/4/3	木	300355	241	1246	晴れ時々曇り	9	17	0
2025/4/4	金	336598	276	1220	晴れ	8	16	0
2025/4/5	土	427725	314	1362	晴れ時々曇り	5	17	0
2025/4/6	日	439581	317	1387	晴れ時々曇り	10	16	0
2025/4/7	月	250018	225	1111	晴れ	8	18	0
2025/4/8	火				晴れ時々曇り	7	21	1
2025/4/9	水				晴れ時々曇り	10	21	1
2025/4/10	木	231646	199	1164	晴れ時々曇り	10	18	0
2025/4/11	金	266924	209	1277	晴れ	12	22	0
2025/4/12	土	453249	331	1369	晴れ時々曇り	10	23	0
2025/4/13	日	386165	277	1394	晴れ時々曇り	8	17	0
2025/4/14	月	221539	193	1148	晴れ時々曇り	8	19	0
2025/4/15	火				晴れ時々曇り	6	16	1
2025/4/16	水				晴れ	6	18	1
2025/4/17	木	254641	225	1132	晴れ時々曇り	8	25	0
2025/4/18	金	246080	207	1189	晴れ→曇り	14	25	0
2025/4/19	土	461653	317	1456	晴れ時々曇り	16	29	0
2025/4/20	日	477355	337	1416	晴れ時々曇り	18	24	0
2025/4/21	月	175239	156	1123	晴れ時々曇り	13	26	0
2025/4/22	火				晴れ時々曇り	18	23	1
2025/4/23	水				晴れ→曇り	16	23	1
2025/4/24	木	258965	227	1141	晴れ	13	23	0
2025/4/25	金	269324	208	1295	晴れ時々曇り	12	20	0
2025/4/26	土	494577	374	1322	晴れ	8	21	0
2025/4/27	日	416484	309	1348	晴れ時々曇り	8	24	0
2025/4/28	月	293753	245	1199	晴れ時々曇り	12	22	0
2025/4/29	火				晴れ	11	18	1
2025/4/30	水				晴れ	8	25	1
2025/5/1	木	294174	247	1191	晴れ時々曇り	11	24	0
2025/5/2	金	299973	245	1224	晴れ時々曇り	13	18	0
2025/5/3	土	415658	293	1419	晴れ時々曇り	11	24	0
2025/5/4	日	410121	284	1444	晴れ→曇り	13	22	0
2025/5/5	月	366694	272	1348	晴れ時々曇り	9	24	0
2025/5/6	火				晴れ時々曇り	14	18	1
2025/5/7	水				晴れ時々曇り	12	21	1
2025/5/8	木	256603	201	1277	晴れ時々曇り	9	24	0
2025/5/9	金	249226	219	1138	晴れ→曇り	15	22	0
2025/5/10	土	462316	329	1405	晴れ→曇り	15	20	0
2025/5/11	日	470793	340	1385	晴れ→曇り	15	22	0
2025/5/12	月	219873	183	1201	晴れ時々曇り	14	24	0
2025/5/13	火				晴れ時々曇り	13	27	1
2025/5/14	水				晴れ→曇り	16	26	1
2025/5/15	木	216143	194	1114	晴れ時々曇り	16	26	0
2025/5/16	金	232202	189	1229	晴れ	18	25	0
2025/5/17	土	435255	312	1395	晴れ→曇り	18	22	0
2025/5/18	日	342867	272	1261	晴れ→曇り	20	29	0
2025/5/19	月	215737	180	1199	晴れ→曇り	18	25	0
2025/5/20	火				晴れ時々曇り	17	30	1
2025/5/21	水				晴れ時々曇り	21	31	1
2025/5/22	木	233575	182	1283	晴れ→曇り	19	30	0
2025/5/23	金	199006	174	1144	晴れ時々曇り	17	27	0
2025/5/24	土	539062	364	1481	晴れ→曇り	16	21	0
2025/5/25	日	525964	383	1373	晴れ時々曇り	16	23	0
2025/5/26	月	268213	214	1253	晴れ	16	21	0
2025/5/27	火				晴れ時々曇り	15	22	1
2025/5/28	水				晴れ時々曇り	15	28	1
2025/5/29	木	240798	214	1125	晴れ時々曇り	18	24	0
2025/5/30	金	219538	195	1126	晴れ時々曇り	16	25	0
2025/5/31	土	430813	329	1309	晴れ時々曇り	17	23	0
2025/6/1	日	477028	333	1433	晴れ時々曇り	17	23	0
2025/6/2	月	196096	161	1218	晴れ→曇り	16	27	0
2025/6/3	火				晴れ時々曇り	17	21	1
2025/6/4	水				晴れ時々曇り	17	27	1
2025/6/5	木	230317	205	1123	晴れ時々曇り	15	29	0
2025/6/6	金	223672	191	1171	晴れ→曇り	17	28	0
2025/6/7	土	430549	319	1350	晴れ→曇り	20	28	0
2025/6/8	日	379318	303	1252	晴れ	21	27	0
2025/6/9	月	218575	191	1144	晴れ→曇り	19	26	0
2025/6/10	火				晴れ時々曇り	19	21	1
2025/6/11	水				晴れ→くもり	21	25	1
2025/6/12	木	228787	189	1211	晴れ→曇り	18	26	0
2025/6/13	金	235959	205	1151	晴れ時々曇り	18	28	0
2025/6/14	土	437013	305	1433	晴れ時々曇り	20	23	0
2025/6/15	日	406960	301	1352	晴れ→曇り	20	29	0
2025/6/16	月	185623	186	998	晴れ時々曇り	20	32	0
2025/6/17	火				晴れ時々曇り	26	35	1
2025/6/18	水				晴れ時々曇り	24	36	1
2025/6/19	木	179715	158	1137	晴れ	25	36	0
2025/6/20	金	191062	178	1073	晴れ時々曇り	25	32	0
2025/6/21	土	338703	257	1318	晴れ時々曇り	25	31	0
2025/6/22	日	346205	275	1259	晴れ	23	30	0
2025/6/23	月	175298	157	1117	晴れ時々曇り	23	29	0
2025/6/24	火				晴れ時々曇り	23	25	1
2025/6/25	水				晴れ時々曇り	23	31	1
2025/6/26	木	200566	170	1180	晴れ時々曇り	23	28	0
2025/6/27	金	178538	166	1076	晴れ→曇り	23	30	0
2025/6/28	土	484276	321	1509	晴れ	22	33	0
2025/6/29	日	455416	312	1460	晴れ	24	33	0
2025/6/30	月	221630	168	1319	晴れ	25	35	0
2025/7/1	火				晴れ→曇り	26	36	1
2025/7/2	水				晴れ時々曇り	26	33	1
2025/7/3	木	206950	184	1125	晴れ時々曇り	25	34	0
2025/7/4	金	188818	164	1151	晴れ→曇り	26	34	0
2025/7/5	土	315171	236	1335	晴れ→曇り	27	35	0
2025/7/6	日	324539	248	1309	晴れ時々曇り	27	36	0
2025/7/7	月	167450	157	1067	晴れ時々曇り	25	37	0
2025/7/8	火				晴れ時々曇り	25	34	1
2025/7/9	水				晴れ時々曇り	27	33	1
2025/7/10	木	166040	153	1085	晴れ時々曇り	27	35	0
2025/7/11	金	183203	167	1097	晴れ時々曇り	25	34	0
2025/7/12	土	329418	269	1225	晴れ時々曇り	26	32	0
2025/7/13	日	336911	246	1370	晴れ→曇り	26	32	0
2025/7/14	月	182806	151	1211	晴れ→曇り	25	33	0
2025/7/15	火				晴れ時々曇り	25	32	1
2025/7/16	水				晴れ時々曇り	25	30	1
2025/7/17	木	167547	125	1340	晴れ時々曇り	24	26	0
2025/7/18	金	213318	183	1166	晴れ時々曇り	24	30	0
2025/7/19	土	414107	287	1443	晴れ時々曇り	23	32	0
2025/7/20	日	390970	299	1308	晴れ時々曇り	25	33	0
2025/7/21	月	360503	257	1403	晴れ時々曇り	26	35	0
2025/7/22	火				晴れ時々曇り	27	36	1
2025/7/23	水				晴れ時々曇り	27	35	1
2025/7/24	木	216808	195	1112	晴れ時々曇り	27	36	0
2025/7/25	金	190859	168	1136	晴れ	26	35	0
2025/7/26	土	359279	251	1431	晴れ	27	35	0
2025/7/27	日	344986	247	1397	晴れ時々曇り	26	34	0
2025/7/28	月	237195	188	1262	晴れ	26	36	0
2025/7/29	火				晴れ時々曇り	28	38	1
2025/7/30	水				晴れ時々曇り	27	37	1
2025/7/31	木	217637	191	1139	晴れ時々曇り	26	35	0
2025/8/1	金	199162	168	1185	晴れ時々曇り	27	37	0
2025/8/2	土	304755	229	1331	晴れ	28	37	0
2025/8/3	日	295291	235	1257	晴れ時々曇り	28	37	0
2025/8/4	月	190552	154	1237	晴れ→曇り	29	36	0
2025/8/5	火				晴れ時々曇り	27	37	1
2025/8/6	水				晴れ時々曇り	27	37	1
2025/8/7	木	215967	178	1213	晴れ→曇り	26	33	0
2025/8/8	金	211653	178	1189	晴れ時々曇り	25	33	0
2025/8/9	土	332453	254	1309	晴れ→曇り	24	33	0
2025/8/10	日	339469	255	1331	晴れ時々曇り	25	27	0
2025/8/11	月	303488	221	1373	晴れ時々曇り	25	27	0
